id,section,brand_kit_path,description,bucket,transformer_property_today,gap_notes,code_reference
44,Logos,logos.primary.url|svg|text,Publisher logo (image/SVG/text),Needs dev,—,defaults.js has no logo property; needs dev to add,lib/crawler.js:80-102
45,Logos,logos.primary.font,Logo wordmark font (when text-based),Needs dev,—,No slot,lib/crawler.js:100
46,Logos,logos.favicon_url,Favicon URL,Needs dev,—,No slot,lib/crawler.js:104-111
47,Logos,logos.brand_mark,Compact brand mark variant,Needs dev,—,No slot,lib/crawler.js:79
48,Brand voice,brand_voice.headline_style.case,Headline casing (uppercase / sentence case content rule),Needs dev,—,Distinct from CSS text-transform — content-side rule,lib/crawler.js:319-322
49,Brand voice,brand_voice.headline_style.pattern,Editorial template (e.g. 'Topic colon pattern'),Needs dev,—,No slot,lib/crawler.js:316-318
50,Brand voice,brand_voice.content_distinction.opinion.typography,Distinct opinion typography rule,Needs dev,—,Conditional styling not supported,lib/crawler.js:343-348
51,Brand voice,brand_voice.language,Language override per UI mode,Needs dev,—,layout.direction (rtl/ltr) not exposed,lib/crawler.js:67
52,Photo,photo_style.video_thumbnails.indicator,Play-button presence/absence,Needs dev,—,No slot,lib/crawler.js:381
53,Photo,photo_style.video_thumbnails.indicator_color,Play-button tint color,Needs dev,—,No slot,lib/crawler.js:383
54,Photo,photo_style.author_photos.shape,Author avatar shape (circular/square),Needs dev,—,No slot,lib/crawler.js:390
55,Photo,photo_style.author_photos.size,Author avatar size,Needs dev,—,No slot,lib/crawler.js:391
56,Graphics,graphics.elements[],Full multi-badge inventory,Needs dev,—,Each badge type (live/breaking/opinion/sponsored) needs its own slot,lib/crawler.js:402-421
57,Graphics,graphics.style,Stylistic posture (e.g. 'Minimal — relies on photography'),Needs dev,—,No slot,lib/crawler.js:395
58,Icons,icons.style,Icon system style (e.g. 'SVG-based'),Needs dev,—,No slot,lib/crawler.js:425
59,Icons,icons.social_media_icons.platforms[],Detected social networks,Needs dev,—,Drives footer; no slot,lib/crawler.js:431-448
60,Icons,icons.social_media_icons.placement,Social icon placement (header/footer),Needs dev,—,No slot,lib/crawler.js:427
61,Layout,layout_patterns.grid,Layout strategy (single/two-column),Needs dev,—,No slot,lib/crawler.js:472
62,Layout,layout_patterns.header.layers[],Header structure (utility / brand / nav layers),Needs dev,—,No slot,lib/crawler.js:459-466
63,Layout,layout_patterns.footer.sections[],Footer column structure,Needs dev,—,No slot,lib/crawler.js:476-480
64,Layout,layout.container.max_width,Container max width,Needs dev,—,No slot,js/extractors.js:213-218
65,Layout,layout.spacing.{xs|sm|md|lg|xl},5-step spacing scale,Needs dev,—,No slot,js/extractors.js:241-247
66,Layout,layout.grid.gap,Grid gap,Needs dev,—,Coarser knob (spacing.cardGap) exists but not equivalent,js/extractors.js:220-225
67,Layout,header.style,Header light/dark style,Needs dev,—,No slot — drives custom-headed UI mode,js/extractors.js:672
68,Layout,header.background,Header background color,Needs dev,—,No slot,js/extractors.js:673
69,Layout,header.accentBarColor,Header accent bar color,Needs dev,—,No slot,js/extractors.js:676
70,Layout,header.hasSearch,Header search field present,Needs dev,—,No slot,js/extractors.js:678
